Entry_ID,Domesticated,IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,General_Category_or_Family,C4_Plant,Sampled_Element,Cultural_Horizon,Species,Site_Description,Genus,Absolute_Chronology,General_Category_or_Family.1,Modern_Country,cronologia,%C,%N,C:N,peso_mg,pre-treatment,contexto,method
140,yes,-23.13,4.85,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
141,yes,-23.38,6.93,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
142,yes,-21.17,5.7,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
143,yes,-22.84,5.67,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
144,yes,-26.33,3.64,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
145,yes,-23.71,5.4,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
146,yes,-21.16,4.53,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
147,yes,-24.06,4.4,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
148,yes,-21.32,4.62,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
149,yes,-23.76,4.35,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
150,yes,-23.01,6.79,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
151,yes,-23.85,6.9,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
152,yes,-20.61,8.68,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
153,yes,-22.43,6.18,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
154,yes,-23.88,3.78,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
155,yes,-24.01,8.2,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
156,yes,-23.92,9.0,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
157,yes,-22.44,5.58,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
158,yes,-23.31,4.05,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
159,yes,-24.31,6.34,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
160,yes,-21.85,2.25,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
161,yes,-23.32,2.55,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
162,yes,-21.01,2.12,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
163,yes,-22.54,2.93,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
164,yes,-23.62,6.02,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
165,yes,-22.2,3.01,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
166,yes,-24.25,6.91,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
167,yes,-22.21,4.77,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
168,yes,-23.23,5.87,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
169,yes,-23.78,4.24,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
170,yes,-23.91,7.36,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
171,yes,-23.55,3.73,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
172,yes,-23.2,6.63,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
173,yes,-22.68,5.22,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
174,yes,-23.83,6.02,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
175,yes,-21.93,-0.39,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
176,yes,-23.87,3.35,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
177,yes,-23.99,6.36,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
178,yes,-23.72,5.38,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
179,yes,-21.42,7.93,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
180,yes,-20.44,5.08,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
181,yes,-20.72,7.64,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
182,yes,-22.65,3.77,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
183,yes,-23.36,6.31,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
184,yes,-21.8,5.6,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
185,yes,-22.49,6.94,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
186,yes,-22.36,5.85,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
187,yes,-22.04,5.68,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
188,yes,-23.01,6.59,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
189,yes,-22.64,5.18,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
190,yes,-22.3,6.43,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
191,yes,-22.46,4.79,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
192,yes,-23.26,6.19,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
193,yes,-23.35,6.08,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
194,yes,-23.66,3.98,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
195,yes,-23.03,5.15,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
196,yes,-22.41,5.68,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
197,yes,-20.87,7.98,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
198,yes,-21.04,8.07,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
199,yes,-24.7,6.32,37.759269,-1.559711,Poaceae,no,Seed,El Algar,vulgare,Monumental settlement,Hordeum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
200,yes,-21.93,6.01,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
201,yes,-22.04,4.52,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
202,yes,-22.36,6.14,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
203,yes,-22.86,4.11,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
204,yes,-23.16,8.85,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
205,yes,-22.78,4.01,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
206,yes,-23.05,4.4,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
207,yes,-20.54,6.44,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
208,yes,-22.66,3.76,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
209,yes,-22.24,5.75,37.759269,-1.559711,Poaceae,no,Seed,El Algar,aestivum/durum,Monumental settlement,Triticum,2000 - 1500 BCE,Poaceae,Spain,,,,,,,,
