IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,Chronological_Period_clean,Mediterranean_Basin
-23.4,1.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.68,5.22,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-23.3,2.2,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-22.7,2.5,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-23.6,1.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-26.69,-1.79,35.294444,36.791667,Other,Eastern_Med
-24.3,2.7,36.667179,41.058576,Early_Bronze_Age,Eastern_Med
-24.3,-0.7,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-25.0,2.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.94,4.38,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-23.4,5.5,35.2994728,25.1616528,Neolithic,Eastern_Med
-24.37,3.6,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-23.67,0.0,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-23.1,3.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
0.63,0.08,35.29848,25.159555,Early_Iron_Age,Eastern_Med
-21.6,7.3,42.542984,-2.580537,Late_Iron_Age,Western_Med
-23.74,0.53,38.285047,26.702271,Chalcolithic,Eastern_Med
-24.0,3.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-26.1,1.7,40.640317,22.935272,Middle_Late_Bronze_Age,Central_Med
-22.5,3.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-26.1,0.9,37.062972,22.420611,Late_Neolithic,Central_Med
-24.9,-1.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.6,0.8,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-24.1,0.1,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-22.9,1.2,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-24.6,0.7,37.062972,22.420611,Late_Neolithic,Central_Med
-23.6,2.3,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-22.92,4.04,38.285047,26.702271,Chalcolithic,Eastern_Med
-24.8,1.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.4,1.3,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.9,1.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.1,0.03,35.9475,39.036111,Other,Eastern_Med
-23.9,1.7,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-24.44,2.3,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-22.3,6.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.9,3.1,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-23.2,10.3,29.38,-9.43,Other,Western_Med
-21.17,5.7,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-24.0,1.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.03,1.7,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-23.07,5.82,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-23.96,5.92,37.15237,-1.894537,Middle_Late_Bronze_Age,Western_Med
-23.79,-3.3,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-22.51,4.01,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-24.0,1.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.3,1.7,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.8,5.6,29.32,-9.44,Other,Western_Med
-25.07,2.23,35.2994728,25.1616528,Late_Neolithic,Eastern_Med
-23.1,1.5,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.2,6.7,43.568082,3.903359,Late_Iron_Age,Western_Med
-10.3,1.6,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-27.4,-0.3,34.94,-5.58,Other,Western_Med
-22.2,7.3,42.542984,-2.580537,Late_Iron_Age,Western_Med
-21.76,2.55,38.285047,26.702271,Chalcolithic,Eastern_Med
-23.79,1.75,38.123229,27.147217,Chalcolithic,Eastern_Med
-24.46,4.5,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-21.0,4.94,37.15237,-1.894537,Middle_Late_Bronze_Age,Western_Med
-22.8,1.0,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.0,2.5,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-22.5,0.5,37.062972,22.420611,Late_Neolithic,Central_Med
-24.5,0.7,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-21.7,1.6,37.062972,22.420611,Late_Neolithic,Central_Med
-24.6,7.5,43.568086,3.903363,Late_Iron_Age,Western_Med
-24.3,-0.7,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.71,5.4,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-24.0,1.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.5,1.2,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.7,1.02,36.841667,40.072222,Other,Eastern_Med
-25.3,1.3,41.496667,13.489629,Early_Bronze_Age,Central_Med
-24.37,5.57,36.240491,36.382199,Middle_Late_Bronze_Age,Eastern_Med
-22.6,3.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.5,1.6,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-25.0,2.0,41.496667,13.489629,Early_Bronze_Age,Central_Med
-25.1,0.9,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.9,3.3,40.706147,22.541419,Middle_Late_Bronze_Age,Central_Med
-24.2,0.5,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.0,3.7,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-26.33,3.64,37.759269,-1.559711,Middle_Late_Bronze_Age,Western_Med
-26.1,1.5,41.496667,13.489629,Early_Bronze_Age,Central_Med
-23.3,5.4,43.568078,3.903355,Late_Iron_Age,Western_Med
-23.9,-0.1,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-24.01,4.0,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
-22.8,1.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.7,8.5,29.38,-9.43,Other,Western_Med
-23.3,1.9,41.8857261,12.7156425,Late_Iron_Age,Central_Med
-23.82,3.98,37.15237,-1.894537,Middle_Late_Bronze_Age,Western_Med
-22.16,2.42,38.285047,26.702271,Chalcolithic,Eastern_Med
-24.07,4.3,38.6582027,23.1895369,Late_Neolithic,Eastern_Med
0.64,0.08,35.29848,25.159555,Early_Iron_Age,Eastern_Med
-23.4,6.2,43.38296,5.164636,Late_Neolithic,Western_Med
-22.6,1.7,37.062972,22.420611,Late_Neolithic,Central_Med
0.62,0.08,35.29848,25.159555,Early_Iron_Age,Eastern_Med
-21.29,5.71,35.028639,33.2426969,Middle_Late_Bronze_Age,Eastern_Med
-23.7,8.4,41.8857261,12.7156425,Late_Iron_Age,Central_Med
