Entry_ID,Archaeological_Site,IRMS_d13C_Collagen,d15N_Collagen,Latitude_N,Longitude_E,General_Category_or_Family,Sampled_Element,Cultural_Horizon,Species,Genus,Absolute_Chronology,Modern_Country,Mediterranean_Basin,Fecha_Min_BP_corr,Fecha_Max_BP_corr,Chronological_Period_corr,Chronological_Period_clean,Cereal
103,La Hoya,-10.8,9.8,42.542984,-2.580537,Poaceae,Seed,Celtiberian,milliaceum,Panicum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,other
104,La Hoya,-10.9,10.6,42.542984,-2.580537,Poaceae,Seed,Celtiberian,milliaceum,Panicum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,other
105,La Hoya,-10.6,10.3,42.542984,-2.580537,Poaceae,Seed,Celtiberian,milliaceum,Panicum,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,other
106,La Hoya,-24.5,3.5,42.542984,-2.580537,Poaceae,Seed,Celtiberian,sp.,Avena,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,other
107,La Hoya,-25.0,4.1,42.542984,-2.580537,Poaceae,Seed,Celtiberian,sp.,Avena,500 BCE - 0,Spain,Western_Med,2550.0,2350.0,Iron_Age_Late,Late_Iron_Age,other
136,La Bastida,-22.6,4.79,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
137,La Bastida,-23.43,3.41,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
138,La Bastida,-23.76,4.28,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
139,La Bastida,-21.85,6.4,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
140,La Bastida,-23.13,4.85,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
141,La Bastida,-23.38,6.93,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
142,La Bastida,-21.17,5.7,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
143,La Bastida,-22.84,5.67,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
144,La Bastida,-26.33,3.64,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
145,La Bastida,-23.71,5.4,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
146,La Bastida,-21.16,4.53,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
147,La Bastida,-24.06,4.4,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
148,La Bastida,-21.32,4.62,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
149,La Bastida,-23.76,4.35,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
150,La Bastida,-23.01,6.79,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
151,La Bastida,-23.85,6.9,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
152,La Bastida,-20.61,8.68,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
153,La Bastida,-22.43,6.18,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
154,La Bastida,-23.88,3.78,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
155,La Bastida,-24.01,8.2,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
156,La Bastida,-23.92,9.0,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
157,La Bastida,-22.44,5.58,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
158,La Bastida,-23.31,4.05,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
159,La Bastida,-24.31,6.34,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
160,La Bastida,-21.85,2.25,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
161,La Bastida,-23.32,2.55,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
162,La Bastida,-21.01,2.12,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
163,La Bastida,-22.54,2.93,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
164,La Bastida,-23.62,6.02,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
165,La Bastida,-22.2,3.01,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
166,La Bastida,-24.25,6.91,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
167,La Bastida,-22.21,4.77,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
168,La Bastida,-23.23,5.87,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
169,La Bastida,-23.78,4.24,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
170,La Bastida,-23.91,7.36,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
171,La Bastida,-23.55,3.73,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
172,La Bastida,-23.2,6.63,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
173,La Bastida,-22.68,5.22,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
174,La Bastida,-23.83,6.02,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
175,La Bastida,-21.93,-0.39,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
176,La Bastida,-23.87,3.35,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
177,La Bastida,-23.99,6.36,37.759269,-1.559711,Poaceae,Seed,El Algar,vulgare,Hordeum,2000 - 1500 BCE,Spain,Western_Med,3950.0,3450.0,Middle_Late_Bronze,Middle_Late_Bronze_Age,barley
